Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Aaron Gordon,ORL,20,F,77,73,47.0,1.4,3.7,36.8,36.9,-0.1,23.9,0.8,0.2,0.08
Brook Lopez,BKN,28,C,73,73,24.7,1.5,3.7,41.0,38.0,3.0,33.7,0.8,0.4,0
Darrell Arthur,DEN,28,F,70,65,41.0,1.3,3.7,35.9,37.3,-1.4,21.7,0.8,0.2,0.03
Jamal Crawford,LAC,36,G,79,74,61.1,1.3,3.7,36.0,35.9,0.1,26.9,0.7,0.1,0.03
Stanley Johnson,DET,20,F,72,71,55.8,1.4,3.7,36.8,36.2,0.6,23.1,0.8,0.1,0
Archie Goodwin,PHX,21,G,55,50,56.5,1.5,3.7,41.4,36.2,5.1,19.5,0.5,0.0,0.04
Andre Drummond,DET,22,C,81,74,26.9,1.7,3.7,46.8,39.0,7.8,32.9,1.5,0.5,0.02
Karl-Anthony Towns,MIN,20,C-F,82,77,27.5,1.4,3.7,38.7,38.2,0.5,32.0,0.7,0.6,0.01
Isaiah Canaan,PHI,25,G,76,74,54.9,1.3,3.7,36.1,36.7,-0.6,25.5,0.7,0.0,0.04
Robin Lopez,NYK,28,C,82,72,28.1,1.7,3.7,47.2,37.9,9.3,27.1,0.2,0.3,0
Richard Jefferson,CLE,36,F,73,68,64.3,1.3,3.7,35.6,36.5,-0.9,17.9,0.4,0.1,0.01
C.J. Watson,ORL,32,G,32,31,58.8,1.5,3.7,41.9,36.5,5.4,19.9,0.6,0.1,0.06
E'Twaun Moore,CHI,27,G,58,52,49.0,1.6,3.7,42.9,37.5,5.4,21.4,0.6,0.2,0.02
Terrence Jones,HOU,24,F,49,47,41.4,1.6,3.6,44.7,36.5,8.2,20.9,0.5,0.2,0
Beno Udrih,MEM,33,G,44,43,62.0,1.3,3.6,36.3,36.8,-0.5,16.1,0.3,0.0,0.09
Wayne Ellington,BKN,28,G,76,73,58.0,1.3,3.6,35.5,36.7,-1.2,21.2,0.6,0.0,0
Tim Frazier,NOP,25,G,39,35,60.3,1.3,3.6,35.5,35.8,-0.3,14.5,0.6,0.0,0.04
Derrick Williams,NYK,25,F,77,74,61.2,1.2,3.6,33.8,36.1,-2.3,17.9,0.4,0.0,0.01
Shabazz Muhammad,MIN,23,F,82,82,62.4,1.5,3.6,41.2,36.5,4.8,20.5,0.3,0.0,0
Wesley Johnson,LAC,28,F-G,80,78,46.7,1.3,3.6,36.6,37.1,-0.5,20.8,1.1,0.3,0.04
Ty Lawson,IND,28,G,63,59,56.4,1.1,3.6,30.5,36.3,-5.8,21.4,0.8,0.0,0.03
Mo Williams,CLE,33,G,36,32,60.8,1.4,3.6,38.8,36.5,2.3,18.2,0.3,0.1,0.02
Dwight Howard,HOU,30,C,70,67,29.6,1.4,3.6,38.0,38.3,-0.3,32.1,1.0,0.7,0
Bobby Portis,CHI,21,F,61,57,46.5,1.0,3.6,28.1,37.2,-9.1,17.8,0.4,0.1,0.05
Ronnie Price,PHX,33,G,61,58,64.1,1.4,3.5,39.8,37.0,2.8,19.5,1.2,0.0,0.23
T.J. Warren,PHX,22,F,46,42,55.8,1.3,3.5,36.8,37.1,-0.3,NaN,NaN,NaN,NaN
Gary Neal,WAS,31,G,40,36,57.3,1.4,3.5,41.1,35.9,5.2,20.2,0.5,0.0,0.07
Amir Johnson,BOS,29,F,78,75,33.3,1.6,3.5,44.4,37.4,7.0,22.8,0.7,0.3,0.04
Toney Douglas,NOP,30,G,60,57,59.4,1.4,3.5,38.4,37.2,1.2,20.7,1.1,0.1,0
Marcelo Huertas,LAL,33,G,51,48,60.9,1.3,3.5,35.8,37.0,-1.3,16.4,0.5,0.0,0.02
Devin Harris,DAL,33,G,64,64,59.6,1.3,3.5,38.4,36.5,1.9,20.0,0.9,0.1,0.19
Tony Snell,CHI,24,F,64,59,50.8,1.1,3.5,31.7,37.2,-5.5,20.3,0.2,0.1,0.03
Gerald Henderson,POR,28,G,70,67,61.9,1.6,3.5,46.9,36.7,10.3,19.9,0.5,0.0,0.08
Lance Stephenson,MEM,25,F-G,67,65,66.7,1.2,3.5,35.0,36.3,-1.3,19.9,0.6,0.0,0
CJ Miles,IND,29,F-G,64,62,49.3,1.3,3.5,38.1,36.5,1.6,22.9,0.8,0.2,0.2
Myles Turner,IND,20,F-C,60,53,30.1,1.2,3.5,33.7,37.5,-3.8,22.8,0.4,0.2,0.03
James Anderson,SAC,27,G-F,44,41,56.5,1.3,3.5,36.8,37.2,-0.3,14.1,0.4,0.1,0
Trevor Booker,UTA,28,F,77,73,48.0,1.1,3.4,32.5,37.6,-5.1,20.7,0.7,0.3,0.03
Trey Burke,UTA,23,G,63,59,56.4,1.2,3.4,35.9,37.3,-1.4,21.3,0.5,0.0,0
Xavier Munford,MEM,24,G,14,11,66.7,1.3,3.4,37.5,38.7,-1.2,17.4,0.9,0.1,0
Andre Miller,SAS,40,G,35,33,73.2,1.2,3.4,35.0,36.4,-1.4,11.8,0.4,0,0
T.J. McConnell,PHI,24,G,79,76,54.3,1.3,3.4,38.0,36.7,1.3,19.8,1.2,0.1,0.02
Rodney Stuckey,IND,30,G,57,54,61.3,1.4,3.4,40.0,36.6,3.4,22.0,0.7,0.1,0.12
Pau Gasol,CHI,35,C-F,72,68,24.0,1.4,3.4,42.3,38.1,4.2,31.8,0.6,0.5,0.04
